,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1166,2019-02-08,268.75,270.58,267.83,270.47,250.27,75788900,75788900,1.72,0.64,269.63,"February 08, 19",0.0064
1167,2019-02-07,270.94,271.55,268.29,270.14,249.96,95482000,95482000,-0.8,-0.29527,269.99,"February 07, 19",-0.0029527
1168,2019-02-06,272.79,273.34,271.92,272.74,252.37,58347800,58347800,-0.05,-0.01832912,272.67,"February 06, 19",-0.0001832912
1169,2019-02-05,272.44,273.44,271.88,273.1,252.7,79552800,79552800,0.66,0.24226,272.81,"February 05, 19",0.0024226
1170,2019-02-04,270.11,272.03,269.36,271.96,251.65,60744800,60744800,1.85,0.68491,271.12,"February 04, 19",0.0068491
1171,2019-02-01,270.15,271.2,269.18,270.06,249.89,85782500,85782500,-0.09,-0.03331483,270.15,"February 01, 19",-0.0003331483
1172,2019-01-31,267.51,270.47,267.27,269.93,249.77,104012100,104012100,2.42,0.90464,269.22,"January 31, 19",0.0090464
1173,2019-01-30,265.1,268.52,264.25,267.58,247.59,92473700,92473700,2.48,0.9355,266.78,"January 30, 19",0.009355
1174,2019-01-29,263.92,264.55,262.48,263.41,243.73,66136300,66136300,-0.51,-0.19324,263.48,"January 29, 19",-0.0019324
1175,2019-01-28,263.39,263.83,261.79,263.76,244.06,85613700,85613700,0.37,0.14048,263.13,"January 28, 19",0.0014048
1176,2019-01-25,265.61,266.7,263.66,265.78,245.93,96883400,96883400,0.17,0.06400361,265.38,"January 25, 19",0.0006400361
1177,2019-01-24,263.21,264.2,262.08,263.55,243.86,59204100,59204100,0.34,0.12917,263.28,"January 24, 19",0.0012917
1178,2019-01-23,264.01,264.79,260.66,263.41,243.73,86030300,86030300,-0.6,-0.22726,262.95,"January 23, 19",-0.0022726
1179,2019-01-22,264.82,265.06,261.06,262.86,243.23,115531200,115531200,-1.96,-0.74013,262.99,"January 22, 19",-0.0074013
1180,2019-01-18,264.98,266.98,263.0,266.46,246.56,127900300,127900300,1.48,0.55853,265.48,"January 18, 19",0.0055853
1181,2019-01-17,260.01,263.92,259.96,262.96,243.32,96118400,96118400,2.95,1.13,262.28,"January 17, 19",0.0113
1182,2019-01-16,260.83,261.97,260.6,260.98,241.49,77636700,77636700,0.15,0.05750872,261.18,"January 16, 19",0.0005750872
1183,2019-01-15,257.82,260.7,257.81,260.35,240.9,85208300,85208300,2.53,0.9813,259.62,"January 15, 19",0.009813
1184,2019-01-14,256.86,258.3,256.41,257.4,238.17,70908200,70908200,0.54,0.21023,257.37,"January 14, 19",0.0021023
1185,2019-01-11,257.68,259.01,257.03,258.98,239.63,73858100,73858100,1.3,0.5045,258.34,"January 11, 19",0.005045
1186,2019-01-10,256.26,259.16,255.5,258.88,239.54,96823900,96823900,2.62,1.02,257.85,"January 10, 19",0.0102
1187,2019-01-09,257.56,258.91,256.19,257.97,238.7,95006600,95006600,0.41,0.15919,257.69,"January 09, 19",0.0015919
1188,2019-01-08,256.82,257.31,254.0,256.77,237.59,102512600,102512600,-0.05,-0.01946889,256.03,"January 08, 19",-0.0001946889
1189,2019-01-07,252.69,255.95,251.69,254.38,235.38,103139100,103139100,1.69,0.6688,254.01,"January 07, 19",0.006688
1190,2019-01-04,247.59,253.11,247.17,252.39,233.54,142628800,142628800,4.8,1.94,250.89,"January 04, 19",0.0194
1191,2019-01-03,248.23,248.57,243.67,244.21,225.97,144140700,144140700,-4.02,-1.62,245.48,"January 03, 19",-0.0162
1192,2019-01-02,245.98,251.21,245.95,250.18,231.49,126925200,126925200,4.2,1.71,249.11,"January 02, 19",0.0171
1193,2018-12-31,249.56,250.19,247.47,249.92,231.25,144299400,144299400,0.36,0.14425,249.19,"December 31, 18",0.0014425
1194,2018-12-28,249.58,251.4,246.45,247.75,229.24,153100200,153100200,-1.83,-0.73323,248.53,"December 28, 18",-0.0073323
1195,2018-12-27,242.57,248.29,238.96,248.07,229.54,186267300,186267300,5.5,2.27,245.11,"December 27, 18",0.0227
1196,2018-12-26,235.97,246.18,233.76,246.18,227.79,218485400,218485400,10.21,4.33,242.04,"December 26, 18",0.0433
1197,2018-12-24,239.04,240.84,234.27,234.34,216.84,147311600,147311600,-4.7,-1.97,236.48,"December 24, 18",-0.0197
1198,2018-12-21,246.74,249.71,239.98,240.7,222.72,255345600,255345600,-6.04,-2.45,243.46,"December 21, 18",-0.0245
1199,2018-12-20,249.86,251.62,244.65,247.17,227.38,252053400,252053400,-2.69,-1.08,247.81,"December 20, 18",-0.0108
1200,2018-12-19,255.17,259.4,249.35,251.26,231.14,214992800,214992800,-3.91,-1.53,253.34,"December 19, 18",-0.0153
1201,2018-12-18,257.2,257.95,253.28,255.08,234.66,134515100,134515100,-2.12,-0.82426,255.44,"December 18, 18",-0.0082426
1202,2018-12-17,259.4,260.65,253.53,255.36,234.91,165492300,165492300,-4.04,-1.56,256.51,"December 17, 18",-0.0156
1203,2018-12-14,262.96,264.03,259.85,260.47,239.61,116961100,116961100,-2.49,-0.94691,261.45,"December 14, 18",-0.0094691
1204,2018-12-13,266.52,267.49,264.12,265.37,244.12,96662700,96662700,-1.15,-0.43149,265.66,"December 13, 18",-0.0043149
1205,2018-12-12,267.47,269.0,265.37,265.46,244.2,97976700,97976700,-2.01,-0.75149,266.61,"December 12, 18",-0.0075149
1206,2018-12-11,267.66,267.87,262.48,264.13,242.98,121504400,121504400,-3.53,-1.32,264.83,"December 11, 18",-0.0132
1207,2018-12-10,263.37,265.16,258.62,264.07,242.93,151445900,151445900,0.7,0.26579,262.62,"December 10, 18",0.0026579
1208,2018-12-07,269.46,271.22,262.63,263.57,242.47,161018900,161018900,-5.89,-2.19,265.81,"December 07, 18",-0.0219
1209,2018-12-06,265.92,269.97,262.44,269.84,248.23,204185400,204185400,3.92,1.47,267.42,"December 06, 18",0.0147
1210,2018-12-04,278.37,278.85,269.9,270.25,248.61,177986000,177986000,-8.12,-2.92,273.0,"December 04, 18",-0.0292
1211,2018-12-03,280.28,280.4,277.51,279.3,256.94,103176300,103176300,-0.98,-0.34965,279.07,"December 03, 18",-0.0034965
